run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_000pct__seed_41__7a4b37255ffc,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,41,211946,0.12200429290533066,0.2456117570400238,0.2558782696723938,0.2507450133562088,0.09991256667673588,0.10005470670759678,0.09927845746278763,0.998,,,,,0.10203926265239716,0.15630383789539337,0.10019437223672867,0.10147589445114136,0.1624423861503601,0.10957004129886627,0.0,0.0,0.14124862217903136,252,269.96818989999883,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_000pct__seed_41__7a4b37255ffc\best.pt
g05_full_reconstruction__g05_000pct__seed_42__166e7fb5f22c,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,42,211946,0.12493434548377991,0.25437527894973755,0.2573184072971344,0.255846843123436,0.09877144357562065,0.09626430667936801,0.09717190265655518,0.999,,,,,0.10230544209480286,0.1671246439218521,0.10200951993465424,0.10304207354784012,0.16464629769325256,0.11047811806201935,0.0,0.0,0.14091131544113158,300,268.07179649999307,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_000pct__seed_42__166e7fb5f22c\best.pt
g05_full_reconstruction__g05_000pct__seed_43__ee74fc628871,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,43,211946,0.12903691828250885,0.264008492231369,0.26514720916748047,0.26457785069942474,0.09909608498215676,0.09591271665692329,0.0975043922662735,1.0,,,,,0.1071256548166275,0.17047250270843506,0.10826484858989716,0.11212809383869171,0.1626337468624115,0.11359668523073196,0.0,0.0,0.15197732388973237,151,266.81003310000233,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_000pct__seed_43__ee74fc628871\best.pt
g05_full_reconstruction__g05_010pct__seed_41__fcd5e2d0387e,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,41,211946,0.1302066445350647,0.26983439922332764,0.26867127418518066,0.26925283670425415,0.15838225822150706,0.15447993621230124,0.10121021419763565,0.998,0.12208014868543066,0.951,0.951,0.95,0.10350848734378815,0.18214404582977295,0.10561124980449677,0.10711035877466202,0.17026053369045258,0.11260519176721573,1.0,3.0,0.28155727553367615,171,2835.4643412999867,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_010pct__seed_41__fcd5e2d0387e\best.pt
g05_full_reconstruction__g05_010pct__seed_42__57ac751243ca,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,42,211946,0.12861420214176178,0.25888359546661377,0.26923200488090515,0.26405780017375946,0.16272505462169648,0.15628908391296864,0.09816434979438782,0.997,0.12856841618425158,0.946,0.9455,0.944,0.10225275158882141,0.17303906381130219,0.10089557617902756,0.10935299098491669,0.17193806171417236,0.11420676857233047,1.0,3.0,0.28151166903972624,203,298.46957129999646,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_010pct__seed_42__57ac751243ca\best.pt
g05_full_reconstruction__g05_050pct__seed_41__51b6bfad5fc8,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,41,211946,0.12466999143362045,0.2522396445274353,0.2611846327781677,0.2567121386528015,0.12713848695158958,0.12502037469297647,0.09759224206209183,0.998,0.06556186398261724,0.973,0.973,0.972,0.09650858491659164,0.16261737048625946,0.10850726068019867,0.09849584847688675,0.17572106420993805,0.10616982728242874,1.0,16.0,0.19993004301190376,248,300.9015437000053,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_050pct__seed_41__51b6bfad5fc8\best.pt
g05_full_reconstruction__g05_075pct__seed_41__0353d15d2af1,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,41,211946,0.12318447977304459,0.24698875844478607,0.26122695207595825,0.25410785526037216,0.13043000078201294,0.1309495093524456,0.09875643998384476,0.999,0.05824617098119754,0.97,0.9705,0.97,0.09461157768964767,0.16471830010414124,0.09953305870294571,0.10370468348264694,0.17526234686374664,0.10127691179513931,1.0,24.0,0.199267520904541,270,296.6485248000099,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_075pct__seed_41__0353d15d2af1\best.pt
g05_full_reconstruction__g05_100pct__seed_41__021c144726a8,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,41,211946,0.1237294003367424,0.2557324171066284,0.2536875307559967,0.25470997393131256,0.12542363081872462,0.1227672865986824,0.10022962838411331,0.998,0.05413225647898629,0.978,0.977,0.976,0.0994792953133583,0.17120222747325897,0.10025514662265778,0.09746605157852173,0.16723592579364777,0.10673771053552628,1.0,32.0,0.18184134447574615,265,294.496804800001,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_full_reconstruction__g05_100pct__seed_41__021c144726a8\best.pt
g05_sign_only__g05_000pct__seed_41__1a3c2b1e65f3,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,41,211946,0.12200429290533066,0.2456117570400238,0.2558782696723938,0.2507450133562088,0.09991256667673588,0.10005470670759678,0.09927845746278763,0.998,,,,,0.10203926265239716,0.15630383789539337,0.10019437223672867,0.10147589445114136,0.1624423861503601,0.10957004129886627,0.0,0.0,0.14124862217903136,252,208.56724959998974,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_sign_only__g05_000pct__seed_41__1a3c2b1e65f3\best.pt
g05_sign_only__g05_000pct__seed_42__d814765c6d0a,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,42,211946,0.12493434548377991,0.25437527894973755,0.2573184072971344,0.255846843123436,0.09877144357562065,0.09626430667936801,0.09717190265655518,0.999,,,,,0.10230544209480286,0.1671246439218521,0.10200951993465424,0.10304207354784012,0.16464629769325256,0.11047811806201935,0.0,0.0,0.14091131544113158,300,228.91928600000392,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_routing_comparison_v1\g05_sign_only__g05_000pct__seed_42__d814765c6d0a\best.pt
