run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_000pct__seed_43__b0d16bbdda7b,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,43,211946,0.1272159069776535,0.26050829887390137,0.2607349753379822,0.2606216371059418,0.09693697653710842,0.09792824085056782,0.09710603207349777,0.999,,,,,0.10897286236286163,0.16882969439029694,0.10446219146251678,0.10719610005617142,0.16549232602119446,0.10834236443042755,0.0,0.0,0.14207826471328736,161,344.8376949999947,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_000pct__seed_43__b0d16bbdda7b\best.pt
g05_full_reconstruction__g05_010pct__seed_43__dbe8f100d918,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,43,211946,0.1221073567867279,0.251862496137619,0.24933981895446777,0.2506011575460434,0.15033461080491542,0.1523068224042654,0.09396375715732574,0.996,0.11782907154959052,0.952,0.95,0.948,0.09819063544273376,0.1650029718875885,0.10346084833145142,0.1033698245882988,0.15569093823432922,0.10692887753248215,1.0,3.0,0.2791620531082153,220,347.4083726999961,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_010pct__seed_43__dbe8f100d918\best.pt
g05_full_reconstruction__g05_025pct__seed_43__3967d7346f37,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,43,211946,0.12197910994291306,0.25255087018013,0.2473989725112915,0.24997492134571075,0.12315914572775363,0.12245632137358188,0.09802453219890594,0.997,0.07249400883397734,0.977,0.9765,0.975,0.10193178057670593,0.16560177505016327,0.10167853534221649,0.10131506621837616,0.15535029768943787,0.10599716007709503,1.0,8.0,0.20516873854398726,202,344.89490210000076,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_025pct__seed_43__3967d7346f37\best.pt
g05_full_reconstruction__g05_050pct__seed_43__1b6f63aa46c2,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,43,211946,0.12612058222293854,0.2528519630432129,0.26654791831970215,0.2596999406814575,0.13049402436614035,0.12976852771639824,0.09481271356344223,0.998,0.07095164940896337,0.968,0.967,0.966,0.09971203655004501,0.16512374579906464,0.1021297499537468,0.1085956022143364,0.1739552617073059,0.10720708966255188,1.0,16.0,0.20327993044257164,150,350.8533000000025,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_050pct__seed_43__1b6f63aa46c2\best.pt
g05_full_reconstruction__g05_075pct__seed_43__e21718bd3ab8,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,43,211946,0.1204698383808136,0.24396252632141113,0.25154945254325867,0.2477559894323349,0.12581533658504487,0.12075499412417412,0.09635794907808304,0.997,0.05882011549672759,0.975,0.9745,0.973,0.09637468308210373,0.15978962182998657,0.09941355139017105,0.10144650936126709,0.16239318251609802,0.10340146720409393,1.0,24.0,0.2034847691655159,282,360.3168764000002,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_075pct__seed_43__e21718bd3ab8\best.pt
g05_full_reconstruction__g05_100pct__seed_43__35ce00d06beb,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,43,211946,0.12657806277275085,0.261924147605896,0.25861015915870667,0.26026715338230133,0.12188769580423832,0.12033015590906143,0.09677769243717194,0.997,0.061314284165439416,0.979,0.9775,0.976,0.10133185237646103,0.17899242043495178,0.1016913503408432,0.10062644630670547,0.1750878393650055,0.10173846781253815,1.0,32.0,0.1822086333036423,283,345.59389770000416,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_full_reconstruction__g05_100pct__seed_43__35ce00d06beb\best.pt
g05_sign_only__g05_000pct__seed_43__4b6ec4172bf9,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,43,211946,0.1272159069776535,0.26050829887390137,0.2607349753379822,0.2606216371059418,0.09693697653710842,0.09792824085056782,0.09710603207349777,0.999,,,,,0.10897286236286163,0.16882969439029694,0.10446219146251678,0.10719610005617142,0.16549232602119446,0.10834236443042755,0.0,0.0,0.14207826471328736,161,321.49360909999814,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_000pct__seed_43__4b6ec4172bf9\best.pt
g05_sign_only__g05_010pct__seed_43__f775ff439130,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,43,211946,0.12779779732227325,0.26481178402900696,0.2611926794052124,0.2630022317171097,0.15251220589876174,0.15610547330975533,0.09852594137191772,0.999,0.11888264519186562,0.953,0.9525,0.952,0.10893277078866959,0.170789897441864,0.10507236421108246,0.10491608828306198,0.16489729285240173,0.11217845976352692,1.0,3.0,0.2827877216339111,180,339.0794346000039,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_010pct__seed_43__f775ff439130\best.pt
g05_sign_only__g05_025pct__seed_43__69d97e283b62,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,43,211946,0.1272159069776535,0.26050829887390137,0.2607349753379822,0.2606216371059418,0.12810865257680415,0.13036998350918294,0.09710603207349777,0.999,0.07097722424369371,0.97,0.9695,0.969,0.10897286236286163,0.16882969439029694,0.10446219146251678,0.10719610005617142,0.16549232602119446,0.10834236443042755,1.0,8.0,0.20560828509926796,161,338.5296387999988,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_025pct__seed_43__69d97e283b62\best.pt
g05_sign_only__g05_050pct__seed_43__56027e31371b,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,43,211946,0.1272159069776535,0.26050829887390137,0.2607349753379822,0.2606216371059418,0.1271730316132307,0.12615729899704456,0.09710603207349777,0.999,0.06476302426559531,0.973,0.9725,0.972,0.10897286236286163,0.16882969439029694,0.10446219146251678,0.10719610005617142,0.16549232602119446,0.10834236443042755,1.0,16.0,0.19964342552423478,161,337.0399036000017,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_routing_final_v1\g05_sign_only__g05_050pct__seed_43__56027e31371b\best.pt
