run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_000pct__seed_42__eae3936917d9,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,42,211946,0.12456133961677551,0.2553708851337433,0.25494617223739624,0.25515852868556976,0.10259667788445949,0.10386610861122608,0.10238705575466156,0.997,,,,,0.09895758330821991,0.16825905442237854,0.10514898598194122,0.10526884347200394,0.1596512347459793,0.11008239537477493,0.0,0.0,0.1403784396648407,294,175.05359379993752,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_full_reconstruction__g05_000pct__seed_42__eae3936917d9\best.pt
g05_full_reconstruction__g05_010pct__seed_42__59bd01bf7856,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,42,211946,0.13007716834545135,0.26009511947631836,0.27229541540145874,0.26619526743888855,0.15532009188830853,0.15517447359859943,0.10009676963090897,0.997,0.12423691131558538,0.951,0.9505,0.949,0.1004389300942421,0.1742602437734604,0.10456397384405136,0.11457297205924988,0.17055931687355042,0.11606749892234802,1.0,3.0,0.28256233489513394,219,200.5975764999166,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_full_reconstruction__g05_010pct__seed_42__59bd01bf7856\best.pt
g05_full_reconstruction__g05_025pct__seed_42__33c6e7d11887,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,42,211946,0.1210719421505928,0.2480059415102005,0.24845480918884277,0.24823037534952164,0.12932541766762734,0.12990237960219383,0.09849031269550323,0.999,0.07609800242391523,0.971,0.9715,0.971,0.1004064530134201,0.16141246259212494,0.09980534017086029,0.10196518152952194,0.1592237949371338,0.10361842066049576,1.0,8.0,0.21593706741929053,283,198.01199339982122,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_full_reconstruction__g05_025pct__seed_42__33c6e7d11887\best.pt
g05_full_reconstruction__g05_050pct__seed_42__c8b3b8ca9048,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,42,211946,0.1244143471121788,0.25787460803985596,0.25296011567115784,0.2554173618555069,0.12489717522263527,0.1268156931847334,0.09946591407060623,0.998,0.06419946564927075,0.976,0.976,0.975,0.10180578380823135,0.1715192198753357,0.10222101956605911,0.10035822540521622,0.16440916061401367,0.10617271065711975,1.0,16.0,0.19600619623064994,216,196.25671129999682,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_full_reconstruction__g05_050pct__seed_42__c8b3b8ca9048\best.pt
g05_full_reconstruction__g05_075pct__seed_42__2c18bb0c4024,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,42,211946,0.12440136820077896,0.2579529285430908,0.25566157698631287,0.25680725276470184,0.12219025054574013,0.12385513988137245,0.09971815347671509,0.998,0.06039831906040856,0.98,0.98,0.979,0.09944533556699753,0.1697627305984497,0.10686172544956207,0.10146787762641907,0.1681070178747177,0.10076358169317245,1.0,24.0,0.19954425948858262,294,201.57918490003794,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_full_reconstruction__g05_075pct__seed_42__2c18bb0c4024\best.pt
g05_full_reconstruction__g05_100pct__seed_42__950b77836ca0,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,42,211946,0.1268407106399536,0.25890856981277466,0.2626935839653015,0.2608010768890381,0.13052415707707404,0.12957677434384823,0.10329896956682205,0.997,0.06593038263662078,0.977,0.9755,0.974,0.10350701212882996,0.16881152987480164,0.10482881963253021,0.10441344976425171,0.1741650402545929,0.10531844943761826,1.0,32.0,0.19939496448636054,179,197.39855250017717,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_full_reconstruction__g05_100pct__seed_42__950b77836ca0\best.pt
g05_sign_only__g05_000pct__seed_42__e235c3e5286c,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,42,211946,0.12456133961677551,0.2553708851337433,0.25494617223739624,0.25515852868556976,0.10259667788445949,0.10386610861122608,0.10238705575466156,0.997,,,,,0.09895758330821991,0.16825905442237854,0.10514898598194122,0.10526884347200394,0.1596512347459793,0.11008239537477493,0.0,0.0,0.1403784396648407,294,146.85211239987984,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_sign_only__g05_000pct__seed_42__e235c3e5286c\best.pt
g05_sign_only__g05_010pct__seed_42__597ba5f22189,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,42,211946,0.12456133961677551,0.2553708851337433,0.25494617223739624,0.25515852868556976,0.1638382723480463,0.16065205623209478,0.10238705575466156,0.997,0.1220344760034939,0.948,0.9475,0.946,0.09895758330821991,0.16825905442237854,0.10514898598194122,0.10526884347200394,0.1596512347459793,0.11008239537477493,1.0,3.0,0.2765833195447922,294,191.4716869997792,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_sign_only__g05_010pct__seed_42__597ba5f22189\best.pt
g05_sign_only__g05_025pct__seed_42__293b1bbe760c,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,42,211946,0.1262982338666916,0.2573237419128418,0.2601914703845978,0.2587576061487198,0.13002220758795738,0.12973331162333487,0.1013951227068901,0.998,0.07629364652502577,0.974,0.974,0.973,0.103666752576828,0.1667012721300125,0.10460583865642548,0.10809652507305145,0.1632203906774521,0.11149856448173523,1.0,8.0,0.21133915558457375,295,195.80829819990322,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_sign_only__g05_025pct__seed_42__293b1bbe760c\best.pt
g05_sign_only__g05_050pct__seed_42__fd3cd70bed00,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,42,211946,0.12456133961677551,0.2553708851337433,0.25494617223739624,0.25515852868556976,0.1321561207920313,0.13075885273516177,0.10238705575466156,0.997,0.07276126059360138,0.974,0.9735,0.972,0.09895758330821991,0.16825905442237854,0.10514898598194122,0.10526884347200394,0.1596512347459793,0.11008239537477493,1.0,16.0,0.1935435609817505,294,195.24816569965333,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed42_six_fractions\g05_sign_only__g05_050pct__seed_42__fd3cd70bed00\best.pt
