model,model_description,input_policy,g05_fraction,g05_count_per_sample,run_count,seeds,parameter_count,std_definition,mean_position_mae_mean,mean_position_mae_std,position_error_1_mean,position_error_1_std,position_error_2_mean,position_error_2_std,mean_position_3d_error_mean,mean_position_3d_error_std,charge_mae_q1_mean,charge_mae_q1_std,charge_mae_q2_mean,charge_mae_q2_std,charge_magnitude_mae_mean,charge_magnitude_mae_std,relative_sign_accuracy_mean,relative_sign_accuracy_std,global_sign_bce_mean,global_sign_bce_std,global_sign_accuracy_mean,global_sign_accuracy_std,absolute_sign_accuracy_mean,absolute_sign_accuracy_std,signed_pair_accuracy_mean,signed_pair_accuracy_std
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,1,43,211946,sample std across independent seeds (ddof=1),0.12903691828250885,,0.264008492231369,,0.26514720916748047,,0.26457785069942474,,0.09909608498215676,,0.09591271665692329,,0.0975043922662735,,1.0,,,,,,,,,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,1,43,211946,sample std across independent seeds (ddof=1),0.123666912317276,,0.2506791055202484,,0.25709018111228943,,0.2538846433162689,,0.15826517848670482,,0.14774322648346425,,0.09513728320598602,,0.999,,0.1212967098017489,,0.951,,0.9505,,0.95,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,1,43,211946,sample std across independent seeds (ddof=1),0.12354283779859543,,0.254443883895874,,0.24988406896591187,,0.25216397643089294,,0.12916560071706773,,0.1282450797557831,,0.09694885462522507,,0.997,,0.06912421152660206,,0.97,,0.9695,,0.968,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,1,43,211946,sample std across independent seeds (ddof=1),0.1212206557393074,,0.25249767303466797,,0.2462742030620575,,0.24938593804836273,,0.13023749719560146,,0.12187960240244865,,0.09690356254577637,,0.998,,0.06431103062125063,,0.973,,0.973,,0.972,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,1,43,211946,sample std across independent seeds (ddof=1),0.1209617555141449,,0.2463001012802124,,0.2509508728981018,,0.2486254870891571,,0.11946067556738854,,0.12181754356622695,,0.09445709735155106,,0.999,,0.054726212841409355,,0.977,,0.9765,,0.976,
g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,1,43,211946,sample std across independent seeds (ddof=1),0.12642288208007812,,0.2565872371196747,,0.2664313018321991,,0.2615092694759369,,0.11884348839521408,,0.11583554255962372,,0.09706234931945801,,0.998,,0.04943433512439463,,0.982,,0.982,,0.981,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,1,43,211946,sample std across independent seeds (ddof=1),0.12903691828250885,,0.264008492231369,,0.26514720916748047,,0.26457785069942474,,0.09909608498215676,,0.09591271665692329,,0.0975043922662735,,1.0,,,,,,,,,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,1,43,211946,sample std across independent seeds (ddof=1),0.12903691828250885,,0.264008492231369,,0.26514720916748047,,0.26457785069942474,,0.15535932829976082,,0.15402816310524942,,0.0975043922662735,,1.0,,0.12194598366870829,,0.951,,0.951,,0.951,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,1,43,211946,sample std across independent seeds (ddof=1),0.1264173537492752,,0.2546282708644867,,0.2634509801864624,,0.25903962552547455,,0.1312196009606123,,0.128445510327816,,0.09694980084896088,,1.0,,0.07322983501560064,,0.97,,0.97,,0.97,
g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,1,43,211946,sample std across independent seeds (ddof=1),0.12903691828250885,,0.264008492231369,,0.26514720916748047,,0.26457785069942474,,0.12879851683974267,,0.12742327830195427,,0.0975043922662735,,1.0,,0.063778854894014,,0.973,,0.973,,0.973,
