run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_050pct__seed_41__51b6bfad5fc8,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,41,211946,0.12466999143362045,0.2522396445274353,0.2611846327781677,0.2567121386528015,0.12713848695158958,0.12502037469297647,0.09759224206209183,0.998,0.06556186398261724,0.973,0.973,0.972,0.09650858491659164,0.16261737048625946,0.10850726068019867,0.09849584847688675,0.17572106420993805,0.10616982728242874,1.0,16.0,0.19993004301190376,248,189.50694879999992,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_050pct__seed_41__51b6bfad5fc8\best.pt
g05_full_reconstruction__g05_050pct__seed_42__95b72160d6e3,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,42,211946,0.12085634469985962,0.2489796131849289,0.24695707857608795,0.24796834588050842,0.11868866348266602,0.1218220061212778,0.09866803139448166,0.999,0.06135948778579269,0.98,0.9795,0.979,0.10094425082206726,0.1612476259469986,0.1005326360464096,0.09544876217842102,0.16160213947296143,0.10536262392997742,1.0,16.0,0.19930245131254196,274,189.85155529999975,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_050pct__seed_42__95b72160d6e3\best.pt
g05_full_reconstruction__g05_050pct__seed_43__5d05cf44b16b,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,43,211946,0.1212206557393074,0.25249767303466797,0.2462742030620575,0.24938593804836273,0.13023749719560146,0.12187960240244865,0.09690356254577637,0.998,0.06431103062125063,0.973,0.973,0.972,0.0992758646607399,0.16513578593730927,0.10243288427591324,0.0957864299416542,0.15856508910655975,0.10612791031599045,1.0,16.0,0.1874145601093769,260,189.6334241000004,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_050pct__seed_43__5d05cf44b16b\best.pt
g05_full_reconstruction__g05_075pct__seed_41__0353d15d2af1,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,41,211946,0.12318447977304459,0.24698875844478607,0.26122695207595825,0.25410785526037216,0.13043000078201294,0.1309495093524456,0.09875643998384476,0.999,0.05824617098119754,0.97,0.9705,0.97,0.09461157768964767,0.16471830010414124,0.09953305870294571,0.10370468348264694,0.17526234686374664,0.10127691179513931,1.0,24.0,0.199267520904541,270,194.37593150000066,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_075pct__seed_41__0353d15d2af1\best.pt
g05_full_reconstruction__g05_075pct__seed_42__cd3d49442d15,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,42,211946,0.12610189616680145,0.25976720452308655,0.2576662003993988,0.2587167024612427,0.12657110446691514,0.12804244965314865,0.10120507329702377,0.999,0.06303540448648744,0.977,0.9765,0.976,0.10109556466341019,0.17194363474845886,0.10459257662296295,0.10248889029026031,0.1704011857509613,0.10608946532011032,1.0,24.0,0.19634837940335273,294,793.2498616000003,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_075pct__seed_42__cd3d49442d15\best.pt
g05_full_reconstruction__g05_075pct__seed_43__45b59efb5ce5,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,43,211946,0.1209617555141449,0.2463001012802124,0.2509508728981018,0.2486254870891571,0.11946067556738854,0.12181754356622695,0.09445709735155106,0.999,0.054726212841409355,0.977,0.9765,0.976,0.10023076087236404,0.1590026468038559,0.10157016664743423,0.10168465971946716,0.15702714025974274,0.1062551885843277,1.0,24.0,0.19573676586151123,279,187.64941649999946,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_075pct__seed_43__45b59efb5ce5\best.pt
g05_full_reconstruction__g05_100pct__seed_41__021c144726a8,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,41,211946,0.1237294003367424,0.2557324171066284,0.2536875307559967,0.25470997393131256,0.12542363081872462,0.1227672865986824,0.10022962838411331,0.998,0.05413225647898629,0.978,0.977,0.976,0.0994792953133583,0.17120222747325897,0.10025514662265778,0.09746605157852173,0.16723592579364777,0.10673771053552628,1.0,32.0,0.18184134447574615,265,185.3838854000005,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_100pct__seed_41__021c144726a8\best.pt
g05_full_reconstruction__g05_100pct__seed_42__f147d295cc09,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,42,211946,0.12263179570436478,0.24945025146007538,0.2553126811981201,0.25238146632909775,0.13139788956940174,0.13020539493858815,0.10008066147565842,0.996,0.0641611777365054,0.974,0.972,0.97,0.0961853489279747,0.165716290473938,0.10114768892526627,0.10624527931213379,0.16595232486724854,0.10054386407136917,1.0,32.0,0.20983411982655525,207,189.238790899999,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_100pct__seed_42__f147d295cc09\best.pt
g05_full_reconstruction__g05_100pct__seed_43__847618974a50,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,43,211946,0.12642288208007812,0.2565872371196747,0.2664313018321991,0.2615092694759369,0.11884348839521408,0.11583554255962372,0.09706234931945801,0.998,0.04943433512439463,0.982,0.982,0.981,0.0996718630194664,0.1743726283311844,0.09817225486040115,0.10365179181098938,0.17618891596794128,0.10647989064455032,1.0,32.0,0.20061829736828804,256,191.7479743999993,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_full_reconstruction__g05_100pct__seed_43__847618974a50\best.pt
g05_sign_only__g05_050pct__seed_41__a94631e5f4e0,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,41,211946,0.12200429290533066,0.2456117570400238,0.2558782696723938,0.2507450133562088,0.12680860854685305,0.1293476718813181,0.09927845746278763,0.998,0.0676440978505243,0.975,0.974,0.973,0.10203926265239716,0.15630383789539337,0.10019437223672867,0.10147589445114136,0.1624423861503601,0.10957004129886627,1.0,16.0,0.19917262136936187,252,187.60018209999998,C:\Users\COM\Documents\KK-AI\Models\model_experiments\ModelTest_V1\g05_sign_only__g05_050pct__seed_41__a94631e5f4e0\best.pt
