run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_000pct__seed_41__5bb088e840eb,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,41,211946,0.12232870608568192,0.2515489161014557,0.251743882894516,0.25164639949798584,0.10049086552858352,0.09713883262872695,0.09811192750930786,0.998,,,,,0.1006491407752037,0.16160278022289276,0.10392928123474121,0.1037176251411438,0.1575748771429062,0.10649851709604263,0.0,0.0,0.1394298450946808,283,130.56193319999147,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_full_reconstruction__g05_000pct__seed_41__5bb088e840eb\best.pt
g05_full_reconstruction__g05_010pct__seed_41__2f5f7544a070,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,41,211946,0.11918589472770691,0.2442944049835205,0.2453661412000656,0.24483027309179306,0.16319258043169976,0.15656330500543117,0.09919655323028564,0.997,0.1233465740214688,0.946,0.9455,0.944,0.0956028550863266,0.1633884310722351,0.09779880195856094,0.10239314287900925,0.1527331918478012,0.10319893062114716,1.0,3.0,0.26624905097484586,289,149.90566019999096,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_full_reconstruction__g05_010pct__seed_41__2f5f7544a070\best.pt
g05_full_reconstruction__g05_025pct__seed_41__35e52b41e101,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,41,211946,0.13113512098789215,0.2715076804161072,0.26865676045417786,0.2700822204351425,0.13074271868169307,0.13374162849783897,0.09968911856412888,0.999,0.07655750022570111,0.97,0.9695,0.969,0.10753223299980164,0.1817641407251358,0.10549037158489227,0.1077929213643074,0.17564037442207336,0.10859066247940063,1.0,8.0,0.22061752665042877,172,149.39813749998575,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_full_reconstruction__g05_025pct__seed_41__35e52b41e101\best.pt
g05_full_reconstruction__g05_050pct__seed_41__1b036cfb55e8,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,41,211946,0.12504102289676666,0.2529647946357727,0.2605856657028198,0.25677523016929626,0.13048392832279204,0.12879124711453915,0.10090110450983047,0.998,0.06433216752247095,0.975,0.974,0.973,0.09945029765367508,0.16588354110717773,0.10311529785394669,0.10453622788190842,0.16486336290836334,0.11239739507436752,1.0,16.0,0.19438092812895774,285,149.07959620002657,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_full_reconstruction__g05_050pct__seed_41__1b036cfb55e8\best.pt
g05_full_reconstruction__g05_075pct__seed_41__fb7da85dc08b,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,41,211946,0.1256178766489029,0.25961652398109436,0.2614186406135559,0.26051758229732513,0.12446825940907001,0.1308372865319252,0.09939039498567581,0.998,0.056755974037064644,0.976,0.976,0.975,0.09452401846647263,0.17555971443653107,0.10317179560661316,0.1014828085899353,0.1780138462781906,0.10095512866973877,1.0,24.0,0.19180867263674736,290,147.54368709999835,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_full_reconstruction__g05_075pct__seed_41__fb7da85dc08b\best.pt
g05_full_reconstruction__g05_100pct__seed_41__c828f5d3c81b,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,41,211946,0.12609632313251495,0.25498664379119873,0.26158806681632996,0.25828735530376434,0.12223132845759392,0.12477274557948112,0.10154585540294647,0.998,0.0546423728442213,0.979,0.978,0.977,0.10067619383335114,0.16880524158477783,0.1025535985827446,0.10837176442146301,0.16813570261001587,0.10803541541099548,1.0,32.0,0.21718559560179712,270,146.80437329999404,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_full_reconstruction__g05_100pct__seed_41__c828f5d3c81b\best.pt
g05_sign_only__g05_000pct__seed_41__da159305faf7,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,41,211946,0.12232870608568192,0.2515489161014557,0.251743882894516,0.25164639949798584,0.10049086552858352,0.09713883262872695,0.09811192750930786,0.998,,,,,0.1006491407752037,0.16160278022289276,0.10392928123474121,0.1037176251411438,0.1575748771429062,0.10649851709604263,0.0,0.0,0.1394298450946808,283,114.05995110000367,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_sign_only__g05_000pct__seed_41__da159305faf7\best.pt
g05_sign_only__g05_010pct__seed_41__bec0dee36e8a,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,41,211946,0.12435442954301834,0.25231966376304626,0.25516068935394287,0.25374017655849457,0.15665321023762227,0.15173823511600495,0.0993080586194992,0.998,0.12328717242369748,0.95,0.95,0.949,0.10346557945013046,0.15846964716911316,0.1070820614695549,0.10768670588731766,0.15971605479717255,0.10970649868249893,1.0,3.0,0.2752782534360886,276,145.5180629999959,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_sign_only__g05_010pct__seed_41__bec0dee36e8a\best.pt
g05_sign_only__g05_025pct__seed_41__1b4fbb9bc156,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,41,211946,0.12232870608568192,0.2515489161014557,0.251743882894516,0.25164639949798584,0.1380826630592346,0.13579976999759674,0.09811192750930786,0.998,0.07488372252227167,0.965,0.965,0.964,0.1006491407752037,0.16160278022289276,0.10392928123474121,0.1037176251411438,0.1575748771429062,0.10649851709604263,1.0,8.0,0.20495385164022445,283,142.98171740002,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_sign_only__g05_025pct__seed_41__1b4fbb9bc156\best.pt
g05_sign_only__g05_050pct__seed_41__95ae10e512d3,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,41,211946,0.12232870608568192,0.2515489161014557,0.251743882894516,0.25164639949798584,0.12842622411251067,0.12912848055362702,0.09811192750930786,0.998,0.06644104495898683,0.973,0.972,0.971,0.1006491407752037,0.16160278022289276,0.10392928123474121,0.1037176251411438,0.1575748771429062,0.10649851709604263,1.0,16.0,0.1988420949280262,283,143.4335940000019,C:\Users\COM\Documents\KK-AI\Models\model_experiments\g05_cuda_seed41_6fractions_v1\g05_sign_only__g05_050pct__seed_41__95ae10e512d3\best.pt
