run_id,model,model_description,input_policy,g05_fraction,g05_count_per_sample,seed,parameter_count,mean_position_mae,position_error_1,position_error_2,mean_position_3d_error,charge_mae_q1,charge_mae_q2,charge_magnitude_mae,relative_sign_accuracy,global_sign_bce,global_sign_accuracy,absolute_sign_accuracy,signed_pair_accuracy,position_mae_x1,position_mae_y1,position_mae_z1,position_mae_x2,position_mae_y2,position_mae_z2,observed_sample_fraction,observations_per_sample,best_validation_loss,best_epoch,elapsed_seconds,best_checkpoint
g05_full_reconstruction__g05_000pct__seed_43__a75ecbaf172e,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.0,0,43,211946,0.12903691828250885,0.264008492231369,0.26514720916748047,0.26457785069942474,0.09909608498215676,0.09591271665692329,0.0975043922662735,1.0,,,,,0.1071256548166275,0.17047250270843506,0.10826484858989716,0.11212809383869171,0.1626337468624115,0.11359668523073196,0.0,0.0,0.15197732388973237,151,187.01496979999956,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_full_reconstruction__g05_000pct__seed_43__a75ecbaf172e\best.pt
g05_full_reconstruction__g05_010pct__seed_43__90787f85102f,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.1,3,43,211946,0.123666912317276,0.2506791055202484,0.25709018111228943,0.2538846433162689,0.15826517848670482,0.14774322648346425,0.09513728320598602,0.999,0.1212967098017489,0.951,0.9505,0.95,0.09601539373397827,0.1682860404253006,0.10035250335931778,0.10441998392343521,0.1629077047109604,0.11001988500356674,1.0,3.0,0.26775063133239746,235,254.76390859999992,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_full_reconstruction__g05_010pct__seed_43__90787f85102f\best.pt
g05_full_reconstruction__g05_025pct__seed_43__2f34d0588024,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.25,8,43,211946,0.12354283779859543,0.254443883895874,0.24988406896591187,0.25216397643089294,0.12916560071706773,0.1282450797557831,0.09694885462522507,0.997,0.06912421152660206,0.97,0.9695,0.968,0.10006868094205856,0.16679984331130981,0.10701858252286911,0.09798324108123779,0.16007278859615326,0.10931386053562164,1.0,8.0,0.19888446575403212,286,253.89557849999983,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_full_reconstruction__g05_025pct__seed_43__2f34d0588024\best.pt
g05_full_reconstruction__g05_050pct__seed_43__25dced51dfa1,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.5,16,43,211946,0.1212206557393074,0.25249767303466797,0.2462742030620575,0.24938593804836273,0.13023749719560146,0.12187960240244865,0.09690356254577637,0.998,0.06431103062125063,0.973,0.973,0.972,0.0992758646607399,0.16513578593730927,0.10243288427591324,0.0957864299416542,0.15856508910655975,0.10612791031599045,1.0,16.0,0.1874145601093769,260,253.8798294999997,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_full_reconstruction__g05_050pct__seed_43__25dced51dfa1\best.pt
g05_full_reconstruction__g05_075pct__seed_43__cae98c39ce92,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",0.75,24,43,211946,0.1209617555141449,0.2463001012802124,0.2509508728981018,0.2486254870891571,0.11946067556738854,0.12181754356622695,0.09445709735155106,0.999,0.054726212841409355,0.977,0.9765,0.976,0.10023076087236404,0.1590026468038559,0.10157016664743423,0.10168465971946716,0.15702714025974274,0.1062551885843277,1.0,24.0,0.19573676586151123,279,253.6884041000003,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_full_reconstruction__g05_075pct__seed_43__cae98c39ce92\best.pt
g05_full_reconstruction__g05_100pct__seed_43__3eb251bb13af,g05_full_reconstruction,"G05 context is available to position, magnitude, and relative-sign restoration as well as the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 + masked G05"",""position"":""G00 + masked G05"",""relative_sign"":""G00 + masked G05""}",1.0,32,43,211946,0.12642288208007812,0.2565872371196747,0.2664313018321991,0.2615092694759369,0.11884348839521408,0.11583554255962372,0.09706234931945801,0.998,0.04943433512439463,0.982,0.982,0.981,0.0996718630194664,0.1743726283311844,0.09817225486040115,0.10365179181098938,0.17618891596794128,0.10647989064455032,1.0,32.0,0.20061829736828804,256,293.98126670000056,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_full_reconstruction__g05_100pct__seed_43__3eb251bb13af\best.pt
g05_sign_only__g05_000pct__seed_43__b6ae923d549b,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.0,0,43,211946,0.12903691828250885,0.264008492231369,0.26514720916748047,0.26457785069942474,0.09909608498215676,0.09591271665692329,0.0975043922662735,1.0,,,,,0.1071256548166275,0.17047250270843506,0.10826484858989716,0.11212809383869171,0.1626337468624115,0.11359668523073196,0.0,0.0,0.15197732388973237,151,149.0347197000001,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_sign_only__g05_000pct__seed_43__b6ae923d549b\best.pt
g05_sign_only__g05_010pct__seed_43__3eeeea133956,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.1,3,43,211946,0.12903691828250885,0.264008492231369,0.26514720916748047,0.26457785069942474,0.15535932829976082,0.15402816310524942,0.0975043922662735,1.0,0.12194598366870829,0.951,0.951,0.951,0.1071256548166275,0.17047250270843506,0.10826484858989716,0.11212809383869171,0.1626337468624115,0.11359668523073196,1.0,3.0,0.2901430506706238,151,238.8275098999993,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_sign_only__g05_010pct__seed_43__3eeeea133956\best.pt
g05_sign_only__g05_025pct__seed_43__b4361b4a9b3b,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.25,8,43,211946,0.1264173537492752,0.2546282708644867,0.2634509801864624,0.25903962552547455,0.1312196009606123,0.128445510327816,0.09694980084896088,1.0,0.07322983501560064,0.97,0.97,0.97,0.10467802733182907,0.16373245418071747,0.10412447154521942,0.10846037417650223,0.16634346544742584,0.11116543412208557,1.0,8.0,0.21740991455316544,175,248.05558800000017,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_sign_only__g05_025pct__seed_43__b4361b4a9b3b\best.pt
g05_sign_only__g05_050pct__seed_43__1daac03366bd,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.5,16,43,211946,0.12903691828250885,0.264008492231369,0.26514720916748047,0.26457785069942474,0.12879851683974267,0.12742327830195427,0.0975043922662735,1.0,0.063778854894014,0.973,0.973,0.973,0.1071256548166275,0.17047250270843506,0.10826484858989716,0.11212809383869171,0.1626337468624115,0.11359668523073196,1.0,16.0,0.21044378888607027,151,243.82150980000006,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_sign_only__g05_050pct__seed_43__1daac03366bd\best.pt
g05_sign_only__g05_075pct__seed_43__0b43ba7cb80d,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",0.75,24,43,211946,0.1250648945569992,0.2531541883945465,0.258201539516449,0.25567786395549774,0.11900537304580211,0.11718876339495182,0.09869921952486038,0.999,0.049015753742709646,0.982,0.9825,0.982,0.10135777294635773,0.1633911430835724,0.10743103176355362,0.10767862200737,0.1598423719406128,0.11068835854530334,1.0,24.0,0.21051019826531409,237,247.62437990000035,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_sign_only__g05_075pct__seed_43__0b43ba7cb80d\best.pt
g05_sign_only__g05_100pct__seed_43__bdaa9666733a,g05_sign_only,"G00 restores ordered positions, magnitudes, and relative sign; G05 is restricted to the q1-anchored global-sign prediction.","{""global_sign"":""G05 only"",""magnitude"":""G00 only"",""position"":""G00 only"",""relative_sign"":""G00 only""}",1.0,32,43,211946,0.12186490744352341,0.2455400973558426,0.25248298048973083,0.2490115389227867,0.12907793566584588,0.12200650292634964,0.09772524982690811,0.998,0.06077604437641683,0.974,0.975,0.974,0.09740185737609863,0.15987670421600342,0.10257529467344284,0.10518645495176315,0.1568298637866974,0.1093192920088768,1.0,32.0,0.21438450935482978,282,1842.0302200999995,C:\Users\COM\Documents\GitHub\KK-AI\Models\model_experiments\g05_seed43_fractions\g05_sign_only__g05_100pct__seed_43__bdaa9666733a\best.pt
